Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /users/v1/api/users/:id,20,0,570,565.82583761774,540.9552501514554,590.5937091447413,45.0,0.166208661054016,0.0,570,580,580,580,590,590,590,590,590,590,590
GET,GET /events/v1/api/events/,1117,0,740,692.752130088649,105.78808281570673,1337.8870410379022,1195506.3545210385,9.282753719866793,0.0,740,840,890,930,1000,1100,1200,1200,1300,1300,1300
GET,GET /health,1154,0,520,487.03763747839594,8.741667028516531,1168.4717091266066,21.0,9.590239742816722,0.0,520,610,690,730,820,890,990,1000,1100,1200,1200
GET,GET /r/:shortcode,1128,0,520,486.5527460285535,8.96283402107656,1185.4258750099689,314.4485815602837,9.374168483446502,0.0,520,620,680,730,830,910,980,1000,1200,1200,1200
GET,GET /users/v1/api/users/,1148,0,550,514.3786574823811,29.41079204902053,1212.4952501617372,126648.22822299652,9.540377144500518,0.0,560,640,710,750,850,930,990,1000,1100,1200,1200
GET,GET /users/v1/api/users/:id,1141,0,530,499.3589102497894,10.279250098392367,1184.6962911076844,265.5390008764242,9.482204113131612,0.0,530,640,710,750,830,920,980,1000,1200,1200,1200
PATCH,PATCH /users/v1/api/users/:id,1132,0,530,499.9921750705097,10.952041950076818,1188.4832079522312,265.4505300353357,9.407410215657306,0.0,530,630,700,760,860,940,1000,1100,1200,1200,1200
POST,POST /events/v1/api/events/,50,0,170,266.48567002266645,12.73920782841742,753.0977500136942,269.0,0.41552165263504,0.0,190,410,470,530,640,650,750,750,750,750,750
POST,POST /urls/v1/api/urls/,50,0,140,221.07192330993712,11.957583017647266,685.873958049342,333.82,0.41552165263504,0.0,150,290,370,450,570,650,690,690,690,690,690
POST,POST /users/v1/api/users/,50,0,170,253.43681337777525,13.107249978929758,707.9748751129955,267.64,0.41552165263504,0.0,180,350,490,520,600,680,710,710,710,710,710
,Aggregated,6990,0,550,523.5063884308687,8.741667028516531,1337.8870410379022,211988.49628040058,58.08992703837859,0.0,550,660,740,770,890,960,1000,1100,1200,1300,1300
